,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/success rate
28,89.0,-17.709754943847656,0.4365617334842682,0.5671392679214478,-1.88374924659729,9.999999747378752e-05,50.0,-56.222312927246094,0.0,0.0
29,88.0,-17.73250961303711,0.23748303949832916,0.5558663606643677,-1.8471745252609253,9.999999747378752e-05,50.0,-56.65948486328125,0.0,0.0
30,89.0,-18.06867218017578,5.745695114135742,0.5448498725891113,-1.9928127527236938,9.999999747378752e-05,50.0,-57.361412048339844,0.0,0.0
31,89.0,-17.982744216918945,0.20792849361896515,0.5341076254844666,-2.0554635524749756,9.999999747378752e-05,50.0,-56.60026931762695,0.0,0.0
32,88.0,-18.18773651123047,0.22349585592746735,0.5235784649848938,-2.1242828369140625,9.999999747378752e-05,50.0,-56.52744674682617,0.0,0.0
33,89.0,-18.120237350463867,6.775928020477295,0.5132595300674438,-2.1232986450195312,9.999999747378752e-05,50.0,-55.96185302734375,0.0,0.0
34,88.0,-18.109025955200195,0.3534684181213379,0.5031744837760925,-2.231173038482666,9.999999747378752e-05,50.0,-56.3383674621582,0.0,0.0
35,89.0,-18.242916107177734,12.9688138961792,0.49325448274612427,-2.276766300201416,9.999999747378752e-05,50.0,-57.12920379638672,0.0,0.0
36,89.0,-18.28215980529785,26.508180618286133,0.48354315757751465,-2.3188581466674805,9.999999747378752e-05,50.0,-56.31486892700195,0.0,0.0
37,88.0,-18.07215118408203,10.462708473205566,0.4740217924118042,-2.403581380844116,9.999999747378752e-05,50.0,-56.65012741088867,0.0,0.0
38,89.0,-18.15610122680664,10.730637550354004,0.4647068679332733,-2.4803407192230225,9.999999747378752e-05,50.0,-56.3243408203125,0.0,0.0
39,88.0,-18.242630004882812,0.19750431180000305,0.45564284920692444,-2.5198638439178467,9.999999747378752e-05,50.0,-57.2661018371582,0.0,0.0
40,89.0,-18.35103416442871,5.913959503173828,0.4467105269432068,-2.564554452896118,9.999999747378752e-05,50.0,-56.805023193359375,0.0,0.0
41,89.0,-18.07640838623047,6.8526411056518555,0.4379691183567047,-2.6392390727996826,9.999999747378752e-05,50.0,-56.97809982299805,0.0,0.0
42,88.0,-18.24325180053711,0.21443849802017212,0.4293900430202484,-2.6575236320495605,9.999999747378752e-05,50.0,-57.499000549316406,0.0,0.0
43,89.0,-18.005170822143555,0.41275554895401,0.42099645733833313,-2.744652032852173,9.999999747378752e-05,50.0,-56.88304901123047,0.0,0.0
44,88.0,-18.140933990478516,6.2365264892578125,0.41276752948760986,-2.6955041885375977,9.999999747378752e-05,50.0,-56.913841247558594,0.0,0.0
45,88.0,-18.03325080871582,0.34527021646499634,0.4047124683856964,-2.7748851776123047,9.999999747378752e-05,50.0,-57.595436096191406,0.0,0.0
46,89.0,-18.097946166992188,0.3536829352378845,0.3968105912208557,-2.8850228786468506,9.999999747378752e-05,50.0,-57.40659713745117,0.0,0.0
47,88.0,-18.13220977783203,6.3874664306640625,0.38902518153190613,-2.9149205684661865,9.999999747378752e-05,50.0,-56.78862762451172,0.0,0.0
48,89.0,-17.854883193969727,0.442452609539032,0.381425678730011,-3.023477792739868,9.999999747378752e-05,50.0,-56.91112518310547,0.0,0.0
49,88.0,-17.851139068603516,4.658636093139648,0.37395355105400085,-2.9948339462280273,9.999999747378752e-05,50.0,-56.635536193847656,0.0,0.0
50,88.0,-17.680234909057617,12.949612617492676,0.36661309003829956,-3.0854973793029785,9.999999747378752e-05,50.0,-57.06633377075195,0.0,0.0
51,89.0,-17.695642471313477,5.804815769195557,0.35946059226989746,-3.149847984313965,9.999999747378752e-05,50.0,-56.64818572998047,0.0,0.0
