,rollout/ep_rew_mean,rollout/success rate,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/ep_len_mean
20,-24.89024543762207,0.0,75.0,-30.50909423828125,3.7895901203155518,0.44280514121055603,-4.075846195220947,9.999999747378752e-05,100.0,-18.631568908691406,0.0,100.0
21,-24.631906509399414,0.0,76.0,-30.595613479614258,4.438042640686035,0.4255094528198242,-4.263491153717041,9.999999747378752e-05,100.0,-18.988801956176758,0.0,100.0
22,-24.29624366760254,0.0,75.0,-30.684417724609375,4.151521682739258,0.40887704491615295,-4.460072994232178,9.999999747378752e-05,100.0,-14.721511840820312,0.0,100.0
23,-24.12806510925293,0.0,75.0,-30.364994049072266,3.5702943801879883,0.3929266631603241,-4.634252548217773,9.999999747378752e-05,100.0,-15.672751426696777,0.0,100.0
24,-23.939476013183594,0.0,74.0,-30.360809326171875,4.144609451293945,0.37764424085617065,-4.794645309448242,9.999999747378752e-05,100.0,-15.1751070022583,0.0,100.0
25,-23.571733474731445,0.0,75.0,-30.070035934448242,3.9385757446289062,0.3630070090293884,-4.956145763397217,9.999999747378752e-05,100.0,-13.111579895019531,0.0,100.0
26,-23.19762420654297,0.0,75.0,-30.017227172851562,3.9090981483459473,0.3489828109741211,-5.092917442321777,9.999999747378752e-05,100.0,-14.063369750976562,0.0,100.0
27,-22.914457321166992,0.0,74.0,-29.533626556396484,4.225229263305664,0.3355121612548828,-5.248042583465576,9.999999747378752e-05,100.0,-15.414872169494629,0.0,100.0
28,-22.682350158691406,0.0,75.0,-29.10763931274414,3.7782793045043945,0.32259199023246765,-5.407856464385986,9.999999747378752e-05,100.0,-13.690032958984375,0.0,100.0
29,-22.450727462768555,0.0,74.0,-28.85761260986328,3.7452871799468994,0.3101325035095215,-5.550352096557617,9.999999747378752e-05,100.0,-12.541221618652344,0.0,100.0
30,-22.7423152923584,0.0,75.0,-28.538562774658203,4.5448431968688965,0.2981804311275482,-5.694886207580566,9.999999747378752e-05,100.0,-10.535665512084961,0.0,100.0
31,-22.6204891204834,0.0,75.0,-28.094533920288086,4.5229411125183105,0.2866738736629486,-5.834852695465088,9.999999747378752e-05,100.0,-9.94760513305664,0.0,100.0
32,-22.557817459106445,0.0,74.0,-27.612781524658203,3.7256155014038086,0.2756430208683014,-5.969034671783447,9.999999747378752e-05,100.0,-12.436640739440918,0.0,100.0
33,-22.488094329833984,0.0,75.0,-27.203100204467773,4.370950222015381,0.26502135396003723,-6.133408069610596,9.999999747378752e-05,100.0,-10.05535888671875,0.0,100.0
34,-22.329547882080078,0.0,74.0,-26.877717971801758,4.057890892028809,0.2547951638698578,-6.244386196136475,9.999999747378752e-05,100.0,-10.604514122009277,0.0,100.0
35,-21.555213928222656,0.0,74.0,-26.33305549621582,3.9562833309173584,0.24496625363826752,-6.428494453430176,9.999999747378752e-05,100.0,-10.968932151794434,0.0,100.0
36,-21.20724105834961,0.0,75.0,-25.617839813232422,3.9412970542907715,0.23548588156700134,-6.575317859649658,9.999999747378752e-05,100.0,-11.16661262512207,0.0,100.0
37,-21.02012062072754,0.0,74.0,-25.014371871948242,3.375676155090332,0.22638416290283203,-6.701566219329834,9.999999747378752e-05,100.0,-9.905221939086914,0.0,100.0
38,-21.082998275756836,0.0,74.0,-24.5233211517334,3.7210474014282227,0.21767869591712952,-6.852605819702148,9.999999747378752e-05,100.0,-10.210247993469238,0.0,100.0
39,-20.891860961914062,0.0,74.0,-23.9596004486084,3.238788366317749,0.2092467099428177,-7.057090759277344,9.999999747378752e-05,100.0,-8.201943397521973,0.0,100.0
40,-20.9794921875,0.0,74.0,-23.139755249023438,3.7610576152801514,0.2011210024356842,-7.096883773803711,9.999999747378752e-05,100.0,-8.031328201293945,0.0,100.0
41,-21.060184478759766,0.0,74.0,-22.63207244873047,3.485049247741699,0.19332624971866608,-7.294905662536621,9.999999747378752e-05,100.0,-9.36971378326416,0.0,100.0
42,-20.89018440246582,0.0,74.0,-21.96107292175293,3.2593889236450195,0.1858186572790146,-7.44565486907959,9.999999747378752e-05,100.0,-7.5719804763793945,0.0,100.0
