index,dist_bottom,dist_entrance,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
10,0.006671829639083,0.037825092516825,10,0,339.274534159691,"[-97.60650675770934, -97.05336788584388, -96.9334980448208, -100.391904724496, -97.0701508386261, -96.12943768502139, -97.44939145776394, -96.3774209774669, -96.78040934897489, -96.63871982346049]",0,1,0,120,2021-09-10 16:30:10.081184
11,0.013776566803736,0.026855900595907,11,0,348.458828148325,"[-98.38453181974275, -97.12775721366393, -353.26297899345514, -100.14158683741934, 5.362117098773156, -97.09162526612754, -97.3280942633601, -97.29573362237684, -96.9438108008854, -97.3101739226868]",0,1,0.1,130,2021-09-10 16:30:10.939716
12,0.089578607304775,0.036000273784332,12,0,155.73411742194,"[-95.63411591895189, -102.11354359786104, -332.3682054139984, 205.52970235583726, -84.60369906358255, -95.83303013391038, -96.02485018227094, -100.36348042988303, -107.31069703839138, -210.71424793562144]",0,0,0.2,140,2021-09-10 16:30:11.775982
13,0.018483556888534,0.040253940877115,13,0,347.64950921025,"[-90.61746136568371, -90.49078974284973, -100.7335773537808, -101.24442369450058, -86.06956087187761, -101.7792679154274, -101.13915714360051, -347.8318165822917, -97.71347528043069, -96.02347540671448]",0,1,0.1,150,2021-09-10 16:30:12.602732
14,0.155289727347019,0.104923397896964,14,0,101.288860073356,"[-101.73605901324486, 143.61193741482575, -97.22290464545068, -339.83430123441576, -100.90471583420329, -91.31597652270848, -96.6939681462377, 248.3833057349418, -100.25582419187091, -102.27687146785523]",0,0,0.1,160,2021-09-10 16:30:13.422183
15,0.107172373931644,0.066158520021444,15,0,100.650254438028,"[-345.9284086208069, -100.3455773996609, -100.6114561581597, -100.4120373254398, -100.7904596066396, -100.62364433489081, 243.62393528514397, -97.06008181871503, -101.26591262695739, -98.66705043946007]",0,0,0.1,170,2021-09-10 16:30:14.241299
16,0.010352879560841,0.037963538814305,16,0,324.698469625519,"[-100.63896627239478, -100.53074477949902, -97.64894870689405, -97.4698648019472, -101.05852597074514, -89.1512690931389, -100.39843438663274, -99.0944846781856, -100.16928969464229, -100.74235694998559]",0,1,0,180,2021-09-10 16:30:15.061441
17,0.134464044793929,0.093400779954302,17,0,100.372558007953,"[-100.56669255406227, -103.0915635352374, -96.69757570294935, -100.70440889962103, -97.87306650024682, 238.85494988713765, -348.4559063398749, -137.36353139602207, -158.60771572576888, 169.46928919597076]",0,0,0.1,190,2021-09-10 16:30:15.891574
18,0.018649443779407,0.029336442083517,18,0,343.081722018136,"[-100.10057962943742, -97.75047366518707, -338.53013522665196, 252.00895169287824, -100.99300257386071, -100.35755897109875, -101.44255958364383, -100.43331581137093, -99.87190013767575, -101.78931053638459]",0,1,0.1,200,2021-09-10 16:30:16.719208
19,0.014191753841711,0.032874697047436,19,0,333.043577436626,"[-89.8839112853568, -99.54242670438985, -99.88579338531838, -105.99048475798278, -89.42102526298683, -100.1196566434397, -91.1498636057749, -337.55251263159323, -101.01014632946988, -90.50931884892648]",0,1,0.1,210,2021-09-10 16:30:17.545274
20,0.090195041760087,0.046515649130426,20,0,103.382934061977,"[-100.82429562179102, -90.9596928970426, -100.01348772400094, -101.06234021403453, -97.0315605739755, -90.30326256299169, -100.52714319762165, -89.66050880098982, -99.93272690407323, -87.92705435250822]",0,0,0,220,2021-09-10 16:30:18.363614
